timestamp,weekday,Voltage (V),Current (A),Power (PA) - Watts (W),Frequency - Hertz (Hz),Active Energy - kilowatts per hour (KWh),Power factor - Adimentional,ESP32 temperature - Centigrade Degrees (°C),CPU consumption - Percentage (%),CPU power consumption - Percentage (%),CPU temperature - Centigrade Degrees (°C),GPU consumption - Percentage (%),GPU power consumption - Percentage (%),GPU temperature - Centigrade Degrees (°C),RAM memory consumption - Percentage (%),RAM memory power consumption - Percentage (%),temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-06-10 02:13:00,4.0,119.90943,1.12075,122.77547,59.97547,81.89,0.91264,33.86887,11.61642,36.90283,36.22642,2.9434,35.0,14.51226,32.37264,11.5283,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:14:00,4.0,119.93571,1.10482,120.725,59.99643,81.89875,0.91107,33.87982,10.72589,37.44643,36.30357,3.41071,35.0,14.53429,32.38661,11.88607,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:15:00,4.0,119.93333,1.09509,119.63684,59.95965,81.9,0.91053,33.82105,10.33789,37.83842,35.2807,2.82456,35.0,14.30193,31.81088,11.1893,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:16:00,4.0,119.91607,1.08018,117.73036,59.97143,81.9,0.90911,33.83964,8.21179,38.02821,33.85714,0.25,35.0,13.95964,31.30446,10.77268,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:17:00,4.0,119.93509,1.07719,117.39825,59.97719,81.9,0.90982,33.83123,8.35544,38.18632,33.92982,0.33333,35.0,14.00316,31.31772,10.08281,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:18:00,4.0,119.93929,1.08518,118.55179,59.9875,81.9,0.91054,33.85,8.74768,38.31946,34.41071,0.67857,35.0,14.13911,31.29375,10.84357,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:19:00,4.0,119.92982,1.08368,118.30877,60.0,81.90807,0.90982,33.89965,8.13158,38.44386,34.12281,0.08772,35.0,14.02175,31.28421,10.93912,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:20:00,4.0,119.9125,1.08321,118.26429,59.94286,81.91,0.91107,33.86982,8.32571,38.56071,34.48214,0.03571,35.0,14.07911,31.28786,11.52768,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:21:00,4.0,119.94211,1.08825,118.86316,59.9807,81.91,0.91088,33.89947,8.89667,38.66351,34.94737,0.0,35.0,14.10123,31.33561,11.40105,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
2021-06-10 02:22:00,4.0,119.9375,1.08321,118.26607,59.97143,81.91,0.90982,33.89982,8.645,38.77161,34.82143,0.57143,35.0,14.21607,31.30911,12.17018,25.0,20.0,74.0,0.0,,220.0,22.3,,1014.0,,3.0
